Designator,Mid X,Mid Y,Rotation,Layer
C201,102.362,-157.226,0.0,top
C202,102.362,-140.97,0.0,top
C203,91.948,-148.59,180.0,top
C204,98.044,-145.288,180.0,top
C205,98.806,-135.382,270.0,top
C206,120.914,-147.066,0.0,top
C207,122.794,-151.638,0.0,top
C301,48.26,-149.86,180.0,top
C302,48.26,-147.574,0.0,top
C303,50.292,-121.92,0.0,top
C304,72.644,-121.666,90.0,top
C305,72.39,-139.192,90.0,top
C306,59.69,-148.59,270.0,top
C307,58.994,-117.094,180.0,top
C308,55.626,-135.89,180.0,top
C309,54.102,-98.044,90.0,top
C310,84.582,-121.666,90.0,top
C311,49.276,-108.712,270.0,top
C312,61.468,-143.792,270.0,top
C313,53.848,-118.8635,270.0,top
C314,63.246,-108.7365,270.0,top
C315,76.962,-135.636,180.0,top
C401,115.316,-90.678,0.0,top
C402,110.745,-102.651,270.0,top
C403,97.319959,-89.408,180.0,top
C404,114.554,-102.616,270.0,top
C405,118.872,-101.410888,270.0,top
C406,92.203,-98.841,0.0,top
C407,97.537,-101.390565,90.0,top
C408,102.617,-98.841,180.0,top
C409,85.599,-98.841,180.0,top
C410,80.519,-101.330344,90.0,top
D201,101.13,-147.166,90.0,top
D202,101.292,-130.148,90.0,top
D301,55.118,-131.064,180.0,top
D302,55.118,-133.35,0.0,top
D303,55.118,-128.778,180.0,top
D304,55.118,-126.492,0.0,top
D305,75.692,-146.304,90.0,top
D306,80.772,-146.304,90.0,top
D307,51.562,-115.0535,90.0,top
D308,49.276,-115.0535,270.0,top
D309,67.056,-149.606,0.0,top
D310,65.532,-138.0725,270.0,top
D311,76.962,-131.064,0.0,top
D401,123.19,-108.458,180.0,top
D402,123.19,-110.998,180.0,top
D403,123.19,-113.538,180.0,top
J201,123.128,-140.490009,0.0,top
J202,123.19,-136.398009,90.0,top
J203,123.382,-128.806009,0.0,top
J301,49.276,-138.204,0.0,top
J302,49.214,-130.612,270.0,top
J303,49.276,-126.52,0.0,top
J304,49.276,-104.902,0.0,top
J305,49.214,-97.31,270.0,top
J306,49.276,-93.218,0.0,top
J307,57.404,-98.298,0.0,top
J308,92.715,-138.938,270.0,top
J309,92.715,-133.35,270.0,top
J310,92.715,-136.144,270.0,top
J401,103.886,-85.344,0.0,top
J402,111.478,-85.345,180.0,top
J403,115.598,-85.344,0.0,top
J404,123.952,-103.891,180.0,top
L301,64.516,-98.338,270.0,top
Q201,110.573,-147.573,0.0,top
Q202,110.573,-154.939,0.0,top
Q203,110.573,-130.635,0.0,top
Q204,110.573,-138.685,0.0,top
R201,103.378,-146.304,90.0,top
R202,103.632,-129.286,90.0,top
R203,119.238,-151.638,0.0,top
R301,62.738,-149.606,180.0,top
R302,75.438,-149.606,0.0,top
R303,65.024,-131.064,270.0,top
R304,52.07,-148.336,270.0,top
R305,84.582,-88.138,180.0,top
R306,61.468,-131.064,270.0,top
R307,51.562,-108.712,270.0,top
R308,50.292,-112.014,0.0,top
R309,63.5,-143.792,90.0,top
R310,92.202,-119.888,0.0,top
R311,49.276,-118.8635,90.0,top
R312,51.562,-118.8635,270.0,top
R313,54.864,-108.7365,270.0,top
R314,57.15,-108.7365,90.0,top
R315,70.866,-149.606,0.0,top
R316,65.532,-141.8825,270.0,top
R317,60.198,-107.2125,0.0,top
R318,60.198,-109.4985,0.0,top
R319,76.962,-133.35,0.0,top
R401,119.38,-108.458,0.0,top
R402,119.38,-110.998,0.0,top
R403,119.38,-113.538,0.0,top
RV301,52.576,-143.689,0.0,top
TP301,61.976,-137.188,0.0,top
TP302,85.09,-149.098,0.0,top
TP303,85.09,-145.288,0.0,top
TP304,55.626,-148.872,0.0,top
TP305,55.118,-114.046,0.0,top
TP306,66.802,-109.728,0.0,top
U201,91.948,-144.272,0.0,top
U301,64.516,-155.194,180.0,top
U302,76.962,-155.194,180.0,top
U303,78.232,-140.716,90.0,top
U304,57.404,-142.24,270.0,top
U305,78.232,-125.222,270.0,top
U306,90.678,-125.222,90.0,top
U307,59.182,-113.03,270.0,top
U401,118.618,-95.504,0.0,top
U402,105.918,-105.734,270.0,top
U403,88.901,-105.699,270.0,top
