Designator,Mid X,Mid Y,Rotation,Layer
C1,49.2676,-74.9548,270.0,top
C2,86.0468,-74.9548,270.0,top
C3,106.4176,-74.8024,270.0,top
C4,67.0476,-75.0564,270.0,top
D1,45.7624,-61.4144,90.0,top
D2,82.8608,-111.3508,270.0,top
D3,64.66,-61.6176,90.0,top
D4,63.898,-111.3508,270.0,top
D5,103.6236,-61.4652,90.0,top
D6,103.0792,-111.4016,270.0,top
D7,84.8276,-61.7192,90.0,top
D8,121.926,-111.4016,270.0,top
J1,45.3052,-67.2564,0.0,top
J10,103.5872,-105.7628,0.0,top
J11,121.3528,-53.2356,0.0,top
J12,102.506,-53.2864,0.0,top
J13,103.9428,-119.936,0.0,top
J14,65.03,-120.0884,0.0,top
J15,84.3704,-67.4088,0.0,top
J16,122.434,-105.6612,0.0,top
J2,83.3688,-105.7628,0.0,top
J3,63.4916,-53.1848,0.0,top
J4,82.3384,-53.134,0.0,top
J5,46.0164,-120.0884,0.0,top
J6,85.096,-120.0376,0.0,top
J7,64.2028,-67.358,0.0,top
J8,64.406,-105.7628,0.0,top
J9,103.1664,-67.1548,0.0,top
Q1,54.8556,-51.356,0.0,top
Q2,73.6152,-121.8156,180.0,top
Q3,73.7532,-51.3052,0.0,top
Q4,54.7032,-121.8664,180.0,top
Q5,112.7676,-51.356,0.0,top
Q6,93.8336,-121.7648,180.0,top
Q7,93.9716,-51.356,0.0,top
Q8,112.6296,-121.6124,180.0,top
R1,45.7624,-70.5076,0.0,top
R2,82.8608,-102.6132,180.0,top
R3,64.66,-70.5584,0.0,top
R4,63.898,-102.664,180.0,top
R5,103.6236,-70.5076,0.0,top
R6,103.0792,-102.5624,180.0,top
R7,84.8784,-70.5584,0.0,top
R8,121.926,-102.41,180.0,top
R9,140.6568,-71.2696,270.0,top
